city2,genus,PLACEFIPS,FIPS,STFIPS.x,HOUSEUNITS,POPULATION,ecoprovmajority,NAME.y,fdmed1stmean,fdmedlastmean,frzfremedmean,gddmenmean,logdnsmean,logdtrmean,logdtrdnsmean,mindexmean,phmnxtmpmean,pptmeasmean,pptmenmean,tmpmaxmean,tmpmaxsummean,uselevmean,phzone,ha,ecoprovmaj,xcoord,ycoord,namestate,County,inc_1969,inc_1979,inc_1989,State,Mean.YEAR,Mean.Value,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,coastdat.coast3,canopy,city,small,med,large,state,trait_value.diameter.at.breast.height..1.3.m.,trait_value.leaf.area,trait_value.leaf.dry.mass,trait_value.seed.mass,trait_value.whole.plant.height,OrigValueStr.Leaf.length,OrigValueStr.Leaf.thickness,OrigValueStr.Leaf.width,OrigValueStr.Plant.growth.rate,OrigValueStr.Plant.height.vegetative,OrigValueStr.Plant.lifespan..longevity.,OrigValueStr.Stem.diameter,small_cor,med_cor,large_cor,log_small
BUTTE-SILVER BOW (BALANCE) MT,abies,3011397,36029,30,16373,34864,3320,BUTTE-SILVER BOW (BALANCE),250.3943966,166.6012931,83.79310345,1006.400862,41.81216362,78.70667384,74.0861141,0.25728381,-3033.186659,92.89439655,465.7198276,110.7155172,229.4295977,1965.672865,42,185647.8932,3320,-1287445,2659072,BeaverheadMontana,"Beaverhead County, MT",22909,21460,19163,Montana,1959.972202,167395.746,37,149,37,8222,254,-139,393,119,-67,144,-67,343,58,12,47,142,45,128,45,753434.3392,0.247437476,BUTTE,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CALABASAS CA,abies,609598,15003,6,8878,24785,261,CALABASAS,341.4,56.7,284.7,4927.4,123.75,34.52777778,127.9722222,-0.485602055,121.8787879,30.9,527,258.2857143,323.5238124,350.5111016,101,3558.64626,261,-2055314,1476650,Los AngelesCalifornia,"Los Angeles County, CA",27372,29410,29127,California,1982.041199,757963.4465,164,128,54,3913,291,54,237,122,211,218,119,494,105,0,95,286,5,12,276,11115.49467,0.064602452,CALABASAS,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CALDWELL NJ,abies,3409250,38061,34,3510,7817,221,CALDWELL,289.6099902,114.3900098,175.2199804,3073.879921,210.6666667,0,143,0.423007488,-1886.25,96.82997053,1305.599571,166,280.6666565,132.2369077,62,303.02883,221,1800941,2187676,EssexNew Jersey,"Essex County, NJ",35604,27122,28784,New Jersey,1959.817637,486106.0606,105,113,31,8813,290,-73,363,209,-12,216,-12,1260,119,81,10,342,274,332,274,18636.43357,0.404986611,CALDWELL,,,,NJ,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CALUMET MI,abies,2612580,30063,26,512,763,212,CALUMET,273,137,136,1613,220.5336709,0.566302334,182.8154518,0.403876424,-2503.993676,160,917,95,231.6666718,373.7058824,52,51.7998,212,573831,2717890,HoughtonMichigan,"Houghton County, MI",22383,19197,16290,Michigan,1945,90330.18868,39,102,25,10266,241,-157,398,157,-41,166,-97,842,87,48,18,248,153,245,194,726346.6765,0.035950704,CALUMET TOWNSHIP,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CAMANCHE IA,abies,1910135,25001,19,2010,4451,251,CAMANCHE,281,116,165,3383,145,25.22727273,195.2727273,0.331386129,-2575.217391,99,906.5,151.75,283.4999924,186.3515528,52,2442.36057,251,471948,2101943,Rock IslandIllinois,"Rock Island County, IL",19147,33416,29914,Illinois,1970.313397,126814.3962,93,112,27,10498,292,-119,411,221,-51,221,-51,894,110,30,36,319,114,319,114,1151983.813,0.120986958,CAMANCHE,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CAMBRIDGE NE,abies,3107730,37069,31,589,1046,332,CAMBRIDGE,274,123,151,3310.220003,221,0,199.5,0.057983365,-2491.5,60,562.4132327,181.9182047,307.9694218,687.5550661,52,347.05866,332,-350976,1926521,FurnasNebraska,"Furnas County, NE",29060,18260,16104,Nebraska,1959.775748,94774.91961,103,160,36,10035,325,-119,444,207,-28,232,-28,558,96,10,64,271,36,241,36,1270152.896,0.043942457,CAMBRIDGE,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CANDO ND,abies,3811860,42059,38,701,1174,332,CANDO,259,141,118,1963.455312,218,0,253.5,0.227931991,-3539.039337,74,457,97,257.8106004,453.7420814,32,163.16937,332,-239155,2835870,TownerNorth Dakota,"Towner County, ND",26352,24234,20089,North Dakota,1963.205128,98809.52381,34,129,26,12583,273,-216,489,186,-138,186,-138,435,77,11,61,204,38,204,38,1009546.994,0.00178337,CANDO,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CAPE GIRARDEAU MO,abies,2911242,36055,29,16760,39461,223,CAPE GIRARDEAU,292.5714286,99.04761905,193.5238095,4519.619048,169.1666667,9.236111111,165.625,0.294969942,-1842.304348,100.1904762,1196.25,200.3,314.2833313,128.5175164,62,7495.43106,223,565008,1604712,PolkFlorida,"Polk County, FL",25216,23875,20665,Florida,1972.047061,164471.793,137,122,32,9040,323,-54,377,138,201,250,15,1186,128,75,16,361,259,286,267,743911.0662,0.181459509,CAPE GIRARD,,,,MO,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CARMEL IN,abies,1810342,23021,18,30738,88217,222,CARMEL,286.2413793,116.7586207,169.4827586,3399.655172,166.912,10.592,173.072,0.349160914,-2345.079365,109.8965517,1022.466667,164.4333333,284.6888916,260.8514517,52,12574.40145,222,832763,1926364,LouisaIowa,"Louisa County, IA",25590,27940,24246,Iowa,1989.957591,370137.6109,106,115,30,9481,295,-86,381,203,-23,222,-23,1009,113,56,20,312,190,300,190,771453.8783,0.131092373,CARMEL,,,,IN,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CARPINTERIA CA,abies,611446,16055,6,5429,13564,261,CARPINTERIA,362.5,32.5,330,3770.5,203.7142857,5.714285714,199.2857143,-0.470699728,21,20,442.5,217,255.5,28.09897611,101,670.80741,261,-2123147,1523271,HenryIndiana,"Henry County, IN",25668,27092,27204,Indiana,1972.748304,578583.6469,160,120,57,3061,265,57,208,126,195,201,122,408,94,0,99,251,2,5,246,1135.352733,0.003387378,CARPINTERIA,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CARRINGTON ND,abies,3812340,42021,38,1057,2108,332,CARRINGTON,268,131.1732872,136.8267128,2034.691074,178.5,15,150.5,0.239034116,-3300.8,79.42010946,476.5111667,107,263.1047276,483.0445063,41,546.48789,332,-237472,2721449,FosterNorth Dakota,"Foster County, ND",21027,23845,21838,North Dakota,1965.681145,149503.0581,43,130,27,12102,279,-198,477,167,-122,191,-122,451,88,11,63,211,37,209,37,1112621.291,0.003678748,CARRINGTON,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CARSON ND,abies,3812460,6065,38,194,298,331,CARSON,262,138,124,2077,104,35.3,153.7,0.179007939,-3290.888889,66,426,117,262.8888855,713.949635,41,1038.58599,331,-429142,2616286,ChiltonAlabama,"Chilton County, AL",21627,19905,15547,Alabama,1959.869792,69387.7551,53,138,29,11369,287,-178,465,169,-100,195,-100,426,85,8,69,209,27,191,27,1292622.154,0.003994633,CARSON,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CASCADE MT,abies,3012775,36115,30,328,666,331,CASCADE,255.0353252,147.0172738,108.0180514,1923.117724,209.5,3,226,0.030022342,-3244.873849,79,397.1699914,147,266.5177871,1041.061111,41,134.67948,331,-1189474,2796147,CascadeMontana,"Cascade County, MT",17933,26895,25052,Montana,1958.82263,128313.253,74,145,36,8379,288,-111,399,158,-33,182,-33,344,62,11,57,156,38,128,38,796189.1448,0.001658925,CASCADE,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CASSELBERRY FL,abies,1211050,18017,12,12708,27245,232,CASSELBERRY,365,34.77777778,330.2222222,8106.333333,204.3157895,0.842105263,173.1052632,-0.021080534,-282.2631579,98.33333333,1278.333333,279.5555556,329,22.77253548,92,1978.75236,232,1431920,731951,FremontIowa,"Fremont County, IA",22948,22121,20183,Iowa,1979.91136,129926.2422,219,112,47,4617,328,90,238,273,167,273,156,1259,190,49,48,529,158,527,193,49198.13931,0.231880517,CASSELBERRY,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CASSELTON ND,abies,3812700,42021,38,926,3062,251,CASSELTON,266,134,132,2403.777835,189.4,13,223.6,0.265681435,-3307,67.77783489,521.7655938,114,273.6666565,283.0679758,41,494.68809,251,-92780,2656927,CassNorth Dakota,"Cass County, ND",19742,29525,25760,North Dakota,1972.26626,184094.2029,51,127,26,12416,288,-199,487,201,-119,201,-119,499,83,9,60,223,35,223,35,1125053.489,0.028594921,CASSELTON,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CASTAIC CA,abies,611796,16011,6,5932,19614,2620,CASTAIC,325,87.6,237.4,4578,126.3684211,30.42105263,162.3684211,-0.479630131,-171,29.8,419.2,256,337.0666748,433.8367594,92,1885.51272,2620,-2042919,1513246,Los AngelesCalifornia,"Los Angeles County, CA",23227,29410,29127,California,1992.14404,433941.7989,161,149,50,5187,323,26,297,106,227,231,99,436,87,1,90,246,6,14,232,49579.25481,0.010820361,CASTAIC,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CAZENOVIA NY,abies,3613145,39157,36,1100,2774,222,CAZENOVIA,273.8196795,134.8067338,139.0129456,2163.04556,159.3333333,21.33333333,204.1666667,0.461445396,-2705.666667,149,1096.775369,124.7941044,248.4359741,372.7575758,51,453.24825,222,1623346,2387416,MadisonNew York,"Madison County, NY",21700,26963,27356,New York,1956.552632,257207.2072,69,109,29,9277,259,-114,373,87,-45,184,-54,1089,104,70,12,298,222,292,237,281256.4285,0.288597573,CAZENOVIA,,,,NY,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CEDAR LAKE IN,abies,1811062,2240,18,4692,12286,222,CEDAR LAKE,285.8,120,165.8,3026.2,139.2962963,21.22222222,173.8148148,0.372493769,-2477.695652,112.8,1003.8,151.2,275.7333252,217.8151687,52,2540.78019,222,709759,2072338,LakeIndiana,"Lake County, IN",19213,35704,31825,Indiana,1971.743246,176462.5229,95,113,28,9845,289,-104,393,150,-40,216,-40,975,106,39,27,311,151,300,151,913015.1104,0.204776035,CEDARLAKE,,,,IN,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CEDAR PARK TX,abies,4813552,51125,48,18726,65259,315,CEDAR PARK,326.2857143,69.07142857,257.2142857,6833.5,141.2833333,24.28333333,170.65,-0.07340754,-855.5079365,67.14285714,880.1333333,263.3333333,346.7555542,280.5829558,82,6203.02605,315,-174119,828036,TravisTexas,"Travis County, TX",19594,26377,24621,Texas,1998.252455,245827.2032,192,124,38,7044,349,25,324,231,109,279,98,833,114,44,31,278,159,185,160,227902.2642,0.242457744,CEDARPARK,,,,TX,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CEDAR RAPIDS IA,abies,1912000,25001,19,57217,132161,222,CEDAR RAPIDS,279.7169811,116.509434,163.2075472,3161.603774,163.3473684,12.4,166.8684211,0.368879384,-2668.961538,96.71698113,890.7735849,149.754717,284.1698107,246.7222087,51,18668.64792,222,355586,2115274,LinnIowa,"Linn County, IA",28616,33654,30424,Iowa,1971.320503,160240.4722,92,116,27,10719,296,-125,421,222,-56,222,-56,880,116,26,43,331,91,331,91,1268793.943,0.12361696,CEDAR RAPIDS,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CEDARBURG WI,abies,5513375,6107,55,4916,11421,222,CEDARBURG,283,127,156,2506,197.5714286,4.642857143,183.1428571,0.352849633,-2481.769231,102,831.6666667,128,258,246.9101942,52,1263.91512,222,646064,2283361,NA,NA,21032,28756.75748,26234.44882,NA,1971.22807,287758.9454,76,100,25,9951,268,-121,389,192,-59,199,-59,804,95,28,33,281,109,272,109,1035949.163,0.175624243,CEDARBURG,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CENTRAL CITY NE,abies,3108535,37183,31,1419,2899,332,CENTRAL CITY,283,118,165,3587.52546,201.7142857,0.285714286,205.2857143,0.171022013,-2509.375,66.46829031,691.4341835,171,297,518.0551378,52,600.87768,332,-166626,2013432,MerrickNebraska,"Merrick County, NE",33244,25556,20797,Nebraska,1959.256466,96247.11316,104,132,30,10413,314,-113,427,212,-35,234,-35,671,104,12,55,286,49,255,49,1297453.834,0.04097006,CENT CITY,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHAMPAIGN IL,abies,1712385,20043,17,34434,84906,251,CHAMPAIGN,291.8,108.3333333,183.4666667,3528.733333,188.4126984,10.55555556,182.4761905,0.341323158,-2364.574074,105.2666667,1026.133333,165.0666667,290.2888936,227.7707254,52,5855.96739,251,652124,1926377,ChampaignIllinois,"Champaign County, IL",19762,27541,27762,Illinois,1974.732495,185812.9872,108,112,29,9846,298,-87,385,210,-25,229,-25,969,111,47,24,312,162,303,162,951866.8599,0.04672081,CHAMPAIGN,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHANNAHON IL,abies,1712476,20185,17,4193,13010,251,CHANNAHON,286.3333333,117.75,168.5833333,3260.833333,113.5952381,37.78571429,162.1190476,0.333822575,-2451.363636,106.4166667,942.0833333,157.6666667,287.3055547,165.9426888,52,4257.94356,251,641117,2072151,GrundyIllinois,"Grundy County, IL",22150,36325,31557,Illinois,1990.200614,214905.1677,95,116,28,10159,293,-112,405,199,-44,219,-44,931,102,36,29,301,137,295,137,980239.0101,0.118602705,CHANNAHON,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHARLOTTE MI,abies,2614820,30035,26,3997,9265,222,CHARLOTTE,273,133.75,139.25,2599,186,14,189.6666667,0.342721574,-2376.5,120.25,860.5,139,265.4166718,274.4850679,52,1680.90351,222,909342,2227737,EatonMichigan,"Eaton County, MI",18588,36493,33911,Michigan,1963.85328,121647.2303,81,116,29,9621,281,-107,388,191,-35,201,-48,839,92,36,25,257,137,256,138,772377.5812,0.133038707,CHARLOTTE,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHARTER OAK CA,abies,612734,16037,6,3144,9640,261,CHARTER OAK,350.3686992,39.26260161,311.1060976,5126.989431,211.1559319,0,129.3843425,-0.452630602,6.333333333,34.63130081,477.3647363,251.6352637,309.7568462,217.5236593,101,240.86907,261,-1983858,1455571,MarionIndiana,"Marion County, IN",29152,29157,30260,Indiana,1967.675117,345213.0529,179,153,55,4321,328,50,278,133,232,239,128,471,97,1,90,273,7,17,255,46176.30616,0.009460472,CHARTER OAK,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHELSEA MI,abies,2615020,30029,26,2436,5140,222,CHELSEA,284.4777308,124,160.4777308,2730.834035,143.1111111,20.55555556,160.6666667,0.323556751,-2299.333333,111.3990011,830,142,269.2222188,280.8707103,61,955.70631,222,978645,2207714,WashtenawMichigan,"Washtenaw County, MI",20956,34680,33880,Michigan,1968.386114,202800.1464,85,108,28,9555,278,-97,375,204,-43,204,-43,812,88,41,22,247,144,247,144,701285.5664,0.171650019,CHELSEA,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHEYENNE WY,abies,5613900,8063,56,27283,63734,331,CHEYENNE,269.2222222,134.2777778,134.9444444,1974.055556,195.8970588,9.132352941,189.5294118,0.075185679,-2583.507692,82.27777778,390.7058824,145.8823529,265.0784356,1852.452894,52,6555.26469,331,-730953,2049072,NA,NA,24312.01402,28756.75748,26234.44882,NA,1971.163493,208106.6326,75,149,38,8257,285,-99,384,158,-25,186,-25,383,65,10,59,177,31,153,31,1334786.226,0.025952587,CHEYENNE WY,,,,MISC,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHICO CA,abies,613014,16055,6,37050,90065,262,CHICO,320,86.93333333,233.0666667,4505.466667,145.8461538,22.94505495,141.032967,-0.181761722,-413.908046,56.53333333,725.625,231.4375,326.7708321,94.96923621,91,8572.8669,262,-2165157,2155639,ButteCalifornia,"Butte County, CA",18385,21804,20205,California,1977.54339,292655.8554,161,148,45,6399,347,20,327,81,242,242,81,704,144,1,81,363,18,18,363,167455.8707,0.09770366,CHICO,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHICOPEE MA,abies,2513660,29189,25,25140,55830,221,CHICOPEE,282.25,117.0625,165.1875,3009.5625,168.1333333,19.4,153.6833333,0.395853572,-2172.322581,110.1875,1166.933333,160.2666667,280.7777791,54.43664909,61,6182.30613,221,1903067,2366412,HampdenMassachusetts,"Hampden County, MA",22689,27089,28438,Massachusetts,1956.469675,187245.3668,90,121,31,9279,286,-100,386,139,-21,207,-34,1105,101,79,7,291,251,284,256,98026.77129,0.262011472,CHICOPEE,,,,MA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CHINO HILLS CA,abies,613214,16015,6,23617,76437,2620,CHINO HILLS,351.1428571,42.46428571,308.6785714,5076.857143,94.3362069,57.71551724,123.6465517,-0.495406021,-25.44827586,31.85714286,430.7142857,253.8928571,309.7619051,287.5113339,101,11585.02527,2620,-1976019,1436330,Los AngelesCalifornia,"Los Angeles County, CA",35419,29410,29127,California,1987.809487,558166.7393,173,147,54,4361,322,52,270,127,227,234,123,438,89,2,87,245,10,18,232,41127.30165,0.022441919,CHINO HILLS,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CITRUS CA,abies,613560,1049,6,2701,11347,261,CITRUS,349.0610724,44.75571037,304.305362,5214.740329,225.2424302,0,143.2642711,-0.455078134,68,35,476,251,311.6666565,180.5366667,101,230.50911,261,-1986420,1457734,Los AngelesCalifornia,"Los Angeles County, CA",24450,29410,29127,California,1960.834527,367085.7143,181,150,54,4235,325,52,273,136,232,239,130,449,92,1,91,263,7,16,245,46259.51672,0.015530333,CITRUS,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CITRUS HEIGHTS CA,abies,613588,16057,6,35075,85874,262,CITRUS HEIGHTS,335.3,49.6,285.7,4605.2,210.0810811,0,138.1351351,-0.239391916,-192.4285714,53,552.5454545,239,338.4545427,47.07825371,92,3685.55577,262,-2153238,2028887,PlacerCalifornia,"Placer County, CA",22579,31310,27289,California,1976.277726,217445.4872,163,134,43,6111,344,34,310,86,240,240,86,526,114,1,86,276,9,11,276,109908.8474,0.126548575,CITRUS HEIGHTS,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CLARKS SUMMIT PA,abies,4213880,47009,42,2324,5171,211,CLARKS SUMMIT,279.5555435,130.4444565,149.111087,2380.093706,225.6666667,0,146,0.441086292,-2244.2,127.4721844,1097.336258,141.7645024,260.6733353,407.0944444,61,411.80841,211,1668899,2232742,LackawannaPennsylvania,"Lackawanna County, PA",20350,23907,23085,Pennsylvania,1964.491525,209986.1111,77,113,30,8951,264,-102,366,169,-31,189,-42,1045,105,65,15,307,208,300,209,157667.9213,0.356327783,CLARKS SUMMIT,,,,PA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CLEARWATER FL,abies,1212875,18035,12,59156,112128,232,CLEARWATER,364.4444444,28.11111111,336.3333333,8225.611111,222.1714286,25.32857143,170.3857143,-0.061183367,-81.3880597,97.27777778,1297.947368,276.4210526,322.6666629,12.23613894,101,6819.44367,232,1303598,636808,PinellasFlorida,"Pinellas County, FL",19471,22461,19623,Florida,1975.64285,220251.9559,223,101,44,4645,325,100,225,276,171,276,159,1267,212,47,52,577,187,539,209,4182.683251,0.166466506,CLEARWATER,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
CLOSTER NJ,abies,3413810,38061,34,2860,8673,221,CLOSTER,298.5,106,192.5,3406.5,196.2857143,0,151.4285714,0.363762558,-1661.5,106,1222,168,282.5,18.54545455,71,818.43684,221,1823410,2208397,BergenNew Jersey,"Bergen County, NJ",21774,40305,39828,New Jersey,1962.276335,658418.0139,114,103,29,8838,295,-58,353,219,-2,226,-2,1175,110,79,10,313,258,305,258,17215.03309,0.506540874,CLOSTER,,,,NJ,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
COLORADO SPRINGS CO,abies,816000,17097,8,179607,445948,331,COLORADO SPRINGS,271.4754098,133.1311475,138.3442623,2250.745902,140.0512821,37.07889546,153.1025641,-0.000849874,-2342.147573,75.78688525,437.852459,161.0983607,270.6803279,1950.607506,52,50561.78478,331,-751983,1794715,El PasoColorado,"El Paso County, CO",29604,27206,25839,Colorado,1980.267827,262512.6038,88,159,40,8034,294,-95,389,195,-11,195,-11,421,74,9,63,196,32,196,32,1141165.158,0.071953385,COLORADO SPRINGS,,,,CO,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
COLSTRIP MT,abies,3016525,36059,30,986,2203,331,COLSTRIP,264,138.6666667,125.3333333,2266.666667,142.3076923,10.53846154,153.4615385,0.077199966,-3058.909091,77,373.3333333,152,284.8888855,999.7468852,42,1157.72553,331,-823998,2591441,RosebudMontana,"Rosebud County, MT",26693,28068,18427,Montana,1978.248588,136209.3352,71,159,35,9702,309,-142,451,121,-55,197,-55,378,67,13,55,173,45,126,45,1206623.749,0.05154785,COLSTRIP,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
COLUMBIA CITY IN,abies,1814716,2122,18,3944,9095,222,COLUMBIA CITY,281,118.6666667,162.3333333,2903,185,9.8,198.4,0.355547249,-2393.642857,121.3333333,970.3333333,148.3333333,272.777771,259.373111,52,1450.3944,222,873599,2065397,WhitleyIndiana,"Whitley County, IN",26292,30662,28098,Indiana,1972.172327,120148.9687,94,115,29,9632,288,-97,385,192,-37,213,-37,955,104,47,22,297,169,290,169,751772.3137,0.113494357,COLUMBIA CI,,,,IN,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
COLUMBIA FALLS MT,abies,3016600,36067,30,1994,5223,3330,COLUMBIA FALLS,255.3881656,151.6866802,103.7014854,1404.466475,205.5,0,196.6666667,0.168755334,-2714.5,115.7563326,492.2541553,124.1470009,251.5835305,917.9597122,51,530.94795,3330,-1352730,2948773,FlatheadMontana,"Flathead County, MT",22293,26977,23632,Montana,1978.534118,187398.539,58,129,34,8142,268,-103,371,142,12,164,-46,564,70,36,22,167,113,148,152,600364.3912,0.05463928,COLUMBIA FALLS,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
COLUMBIA MO,abies,2915670,36101,29,46758,119218,223,COLUMBIA,293.0512821,103.6923077,189.3589744,3956.179487,150.8614458,18.30120482,165.9578313,0.31562523,-2158.075472,93.1025641,1010.051282,180.2307692,301.299145,217.7141029,61,16601.8359,223,315345,1775161,BooneMissouri,"Boone County, MO",19616,26012,24750,Missouri,1983.229291,219483.2565,123,118,30,9581,317,-76,393,220,-6,243,-6,978,122,37,31,329,136,296,136,976143.4291,0.21224659,COLUMBIA,,,,MO,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
COLUMBUS JUNCTION IA,abies,1915420,25027,19,760,1897,251,COLUMBUS JUNCTION,283,116,167,3559.5,161.2,21.8,207.6,0.334679936,-2525.375,109.5,946.5,161,292.6666565,176.5790885,52,567.20781,251,385080,2039591,LouisaIowa,"Louisa County, IA",37913,27940,24246,Iowa,1961.845387,112114.5374,102,118,28,10440,305,-112,417,229,-42,229,-42,923,110,27,38,319,105,319,105,1212356.261,0.277651263,COLUMBUSJCT,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
